date,country,cows price(€/100kg),cows(1000 heads),cows(kg/head),heifers price(€/100kg),heifers(1000 heads),heifers(kg/head),young bulls price(€/100kg),young bulls(1000 heads),young bulls(kg/head),pigmeat price(€/100kg)
2017-01-01,Ireland,321.644,27.8,317.2661870503597,383.688,50.57,311.6472216729286,361.812,0.18,222.2222222222222,154.016
2017-01-01,Spain,244.2288,27.64,288.3502170767004,388.4424,26.47,257.6501700037779,372.4098,83.57,237.6450879502214,140.368
2017-02-01,Ireland,325.3225,29.29,310.6862410378969,384.245,47.56,311.3961312026913,361.915,2.6,142.3076923076923,159.19
2017-02-01,Spain,247.925,25.2,287.6984126984127,388.21999999999997,25.18,256.1556791104051,377.7825,79.58,239.2560944961046,144.87
2017-03-01,Ireland,331.035,29.63,309.1461356733041,390.06,49.82,312.1236451224408,368.46000000000004,3.06,140.5228758169935,164.14
2017-03-01,Spain,256.69,27.3,289.3772893772893,388.4675,29.72,258.4118438761777,373.08750000000003,87.23,239.7111085635676,153.5475
2017-04-01,Ireland,342.9275,25.14,312.6491646778043,403.50500000000005,41.97,312.12771026924,382.41249999999997,0.74,148.6486486486486,164.47750000000002
2017-04-01,Spain,251.075,20.23,291.1517548195749,373.67,27.37,256.8505663134819,372.19,74.54,240.8103031929165,164.5875
2017-05-01,Ireland,352.678,36.83,315.7751832745045,413.582,46.34,313.767803193785,396.36,0.18,166.6666666666667,164.99
2017-05-01,Spain,252.96800000000002,37.73,287.569573283859,383.46400000000006,34.61,256.5732447269575,373.88800000000003,83.91,241.68752234537,166.548
2017-06-01,Ireland,342.3175,35.62,318.6412128017968,414.78,45.74,313.9484040227372,399.46,0.15,200.0,166.0975
2017-06-01,Spain,246.495,36.3,287.8787878787879,385.75500000000005,33.86,258.7123449497932,375.90250000000003,81.05,242.9364589759408,170.9975
2017-07-01,Ireland,341.95199999999994,31.38,316.7622689611217,406.34400000000005,40.87,312.943479324688,392.028,0.08,250.0,168.764
2017-07-01,Spain,248.552,31.21,283.5629605895546,390.21,33.09,258.0840132970686,379.4,80.32,241.6583665338646,175.32199999999997
2017-08-01,Ireland,336.065,30.22,317.6704169424223,389.27,44.09,315.0374234520299,376.845,0.06,166.6666666666667,162.1375
2017-08-01,Spain,254.97500000000002,31.71,280.6685588142542,395.84,30.78,257.959714100065,383.83500000000004,85.21,241.2862340100927,175.4875
2017-09-01,Ireland,333.95,28.78,314.4544822793607,382.375,42.55,313.5135135135135,370.2475,0.12,250.0,158.11999999999998
2017-09-01,Spain,253.46,31.59,285.8499525166192,382.81500000000005,28.34,257.5864502470007,387.5625,83.32,241.3586173787806,168.185
2017-10-01,Ireland,332.404,33.64,309.1557669441141,378.7,44.78,308.6199196069674,366.614,0.13,230.7692307692308,153.606
2017-10-01,Spain,253.106,33.58,283.7998808814771,403.97999999999996,28.77,257.9075425790754,386.09600000000006,87.65,240.844266970907,142.504
2017-11-01,Ireland,334.96750000000003,39.24,302.2426095820591,385.115,53.14,306.5487391795258,372.0125,0.13,230.7692307692308,148.82
2017-11-01,Spain,254.84,32.26,289.8326100433974,405.7525,28.16,261.71875,393.0075,84.57,240.3925741988885,128.0025
2017-12-01,Ireland,343.77250000000004,27.74,301.7303532804614,400.16999999999996,45.71,305.4036315904617,383.4975,0.12,166.6666666666667,145.35750000000002
2017-12-01,Spain,256.2425,27.22,287.2887582659809,394.21999999999997,29.08,261.0041265474553,398.5925,87.73,239.0288384817052,126.4125
2018-01-01,Ireland,347.17,28.73,315.3498085624782,402.12600000000003,53.23,310.7270336276536,382.864,0.18,222.2222222222222,140.092
2018-01-01,Spain,252.63400000000001,29.45,288.9643463497454,396.562,28.66,262.0376831821354,393.646,84.73,239.8206066328337,123.38600000000001
2018-02-01,Ireland,346.27,29.84,306.6353887399464,397.065,46.7,309.4218415417559,375.265,4.48,113.8392857142857,138.45749999999998
2018-02-01,Spain,252.6675,25.56,288.3411580594679,402.12,27.45,260.8378870673953,389.63750000000005,72.55,238.1805651274983,128.8875
2018-03-01,Ireland,352.895,29.18,304.3180260452365,402.19,46.09,311.1303970492514,381.39,4.01,114.713216957606,138.92000000000002
2018-03-01,Spain,259.795,22.51,293.203020879609,397.2075,30.86,259.8833441348023,392.395,79.97,236.7137676628736,140.87
2018-04-01,Ireland,358.426,31.96,300.6883604505632,408.604,46.25,310.9189189189189,391.08,0.96,125.0,139.49200000000002
2018-04-01,Spain,265.582,22.95,291.9389978213508,397.01599999999996,35.55,251.7580872011252,391.184,77.29,240.522706689093,140.772
2018-05-01,Ireland,367.13,31.67,305.0205241553521,419.43,45.93,311.7787938166775,403.52,0.35,142.8571428571429,140.26749999999998
2018-05-01,Spain,274.16999999999996,33.97,287.9010891963497,391.19000000000005,39.18,263.1444614599286,391.605,82.03,242.3503596245276,141.75
2018-06-01,Ireland,358.98749999999995,35.48,310.315670800451,419.9425,42.36,312.5590179414542,404.67749999999995,0.11,181.8181818181818,140.69
2018-06-01,Spain,271.03499999999997,32.15,288.646967340591,394.66,37.61,262.961978197288,385.6175,78.16,242.835209825998,147.67249999999999
2018-07-01,Ireland,328.14,38.14,302.045097011012,398.438,45.5,307.032967032967,384.688,0.08,250.0,140.012
2018-07-01,Spain,272.562,33.97,284.9573152781866,384.34399999999994,38.57,261.0837438423645,384.472,81.2,243.3497536945813,151.228
2018-08-01,Ireland,328.6725,34.82,299.5404939689834,393.095,45.32,307.811120917917,377.1475,0.11,181.8181818181818,137.2375
2018-08-01,Spain,270.235,29.68,280.6603773584906,366.12,36.82,262.0858229223248,382.48,84.93,243.9656187448487,152.31
2018-09-01,Ireland,320.5225,33.04,302.0581113801453,382.66999999999996,45.28,308.9664310954063,367.9775,0.07,142.8571428571428,137.45499999999998
2018-09-01,Spain,271.235,31.2,283.6538461538461,380.065,34.17,265.1448639157155,378.325,76.9,243.4330299089727,148.96249999999998
2018-10-01,Ireland,318.864,39.49,302.6082552544948,377.826,49.95,305.7057057057057,364.376,0.13,230.7692307692308,139.932
2018-10-01,Spain,271.63,35.65,287.7980364656382,375.26200000000006,38.46,260.7904316172647,372.428,86.15,243.2965757399884,135.436
2018-11-01,Ireland,306.1975,39.59,302.0964890123768,378.4375,56.42,302.7295285359801,363.3825,0.16,187.5,138.185
2018-11-01,Spain,266.2075,31.24,289.3725992317542,392.93,34.98,260.4345340194397,371.72749999999996,84.62,243.2049160954857,128.135
2018-12-01,Ireland,296.064,27.17,301.4354066985645,379.296,44.33,303.857432889691,357.504,0.15,200.0,138.35399999999998
2018-12-01,Spain,273.532,24.61,288.5006095083299,399.514,34.34,256.8433313919627,372.87199999999996,83.55,241.5320167564333,128.04999999999998
2019-01-01,Ireland,294.54999999999995,32.99,318.2782661412549,379.53499999999997,58.26,310.3329900446275,350.3025,0.17,235.2941176470588,136.7275
2019-01-01,Spain,270.17,28.96,293.1629834254144,400.9675,31.6,259.1772151898734,377.3675,78.69,242.089210827297,127.27
2019-02-01,Ireland,293.2725,29.89,315.4901304784208,379.7225,50.05,311.6883116883117,341.67249999999996,7.54,106.1007957559682,137.35
2019-02-01,Spain,270.78999999999996,23.73,294.5638432364096,376.365,29.22,257.3579739904175,372.315,70.31,243.6353292561513,131.5475
2019-03-01,Ireland,292.72,27.73,312.6577713667508,379.46,50.95,309.7154072620216,339.0925,9.09,105.6105610561056,140.125
2019-03-01,Spain,274.265,23.0,298.2608695652174,389.7,33.4,259.5808383233533,372.255,72.87,244.6823109647317,142.5875
2019-04-01,Ireland,297.834,26.94,312.5463994060876,380.02799999999996,51.5,311.8446601941747,341.832,2.02,113.8613861386139,152.632
2019-04-01,Spain,275.632,21.29,299.2015030530766,388.99,36.63,257.985257985258,373.604,71.33,246.3199214916585,161.648
2019-05-01,Ireland,322.4375,34.9,317.7650429799427,396.78499999999997,50.4,316.6666666666667,369.8225,0.72,125.0,166.7925
2019-05-01,Spain,272.0225,35.06,294.6377638334284,385.12,41.95,260.0715137067938,374.65500000000003,72.52,246.4147821290678,168.59
2019-06-01,Ireland,315.865,31.93,323.8333855308487,391.395,44.47,317.0676860805037,366.5075,0.16,187.5,173.0575
2019-06-01,Spain,275.225,31.6,293.9873417721519,372.99,38.41,259.5678208799792,360.3675,64.08,247.6591760299626,177.885
2019-07-01,Ireland,300.80600000000004,35.71,318.9582749929992,366.30799999999994,49.39,314.2336505365458,342.58799999999997,0.13,153.8461538461538,173.05
2019-07-01,Spain,275.00200000000007,32.89,290.9698996655518,370.598,41.91,262.2285850632308,349.99399999999997,72.76,248.763056624519,180.81799999999998
2019-08-01,Ireland,301.45750000000004,22.66,315.5339805825243,353.6675,42.0,314.2857142857143,332.565,0.11,181.8181818181818,171.615
2019-08-01,Spain,275.66249999999997,26.63,288.0210289147578,376.245,39.18,260.5921388463502,348.675,73.23,247.9857981701488,180.915
2019-09-01,Ireland,301.62399999999997,14.88,309.1397849462365,354.306,33.3,313.2132132132132,327.592,0.09,222.2222222222222,175.19400000000002
2019-09-01,Spain,274.01800000000003,29.26,294.9419002050581,372.89799999999997,36.34,266.6483214089158,347.37800000000004,72.64,249.3116740088106,181.342
2019-10-01,Ireland,287.2925,30.71,323.3474438293715,354.71500000000003,56.96,317.5912921348315,322.265,0.13,230.7692307692308,178.6475
2019-10-01,Spain,269.9,33.89,292.7117143700207,378.14,37.65,266.1354581673307,346.51500000000004,76.62,248.4990864004176,179.01250000000002
2019-11-01,Ireland,279.65749999999997,34.62,315.7134604274986,351.0,55.89,310.252281266774,320.6375,0.2,200.0,186.885
2019-11-01,Spain,266.04,31.17,300.6095604748155,379.57,34.08,264.0845070422536,352.935,77.49,249.5805910440057,178.45
2019-12-01,Ireland,286.206,27.06,307.0953436807096,358.658,47.42,310.6284268241249,325.97200000000004,0.24,208.3333333333333,189.81199999999998
2019-12-01,Spain,269.226,25.18,299.4440031771247,371.66200000000003,37.22,262.7619559376679,361.164,83.63,246.562238431185,185.472
2020-01-01,Ireland,301.41,28.81,316.2096494272822,367.64750000000004,59.2,316.0472972972973,336.43,0.17,176.4705882352941,190.4975
2020-01-01,Spain,271.8225,28.4,301.056338028169,377.34,33.33,269.7269726972697,362.7125,82.91,246.7736099384875,178.2825
2020-02-01,Ireland,313.4625,28.82,314.0180430256766,372.8825,53.35,318.0880974695407,343.71,0.18,222.2222222222222,190.7575
2020-02-01,Spain,270.245,23.87,299.5391705069125,381.52750000000003,31.24,268.2458386683739,367.61,73.11,246.7514703870879,179.5875
2020-03-01,Ireland,306.26599999999996,30.75,311.5447154471545,369.64200000000005,56.55,319.3633952254642,341.098,0.19,210.5263157894737,183.86200000000002
2020-03-01,Spain,261.53799999999995,19.87,295.420231504781,375.762,35.39,265.6117547329754,369.85,76.36,245.0235725510739,189.092
2020-04-01,Ireland,271.6575,18.73,309.6636412172984,347.2925,42.15,320.2846975088968,324.7625,0.09,222.2222222222222,178.21499999999997
2020-04-01,Spain,239.0025,15.89,290.7488986784141,360.8925,35.2,263.3522727272727,354.81,64.18,247.8965409784979,179.9225
2020-05-01,Ireland,294.0575,26.65,320.0750469043152,360.515,42.06,322.6343319067998,343.54999999999995,0.17,176.4705882352941,169.915
2020-05-01,Spain,233.5075,23.73,294.1424357353561,353.15,37.86,263.8668779714739,347.265,60.81,247.6566354218056,161.10000000000002
2020-06-01,Ireland,295.062,38.13,323.1051665355363,365.56399999999996,53.15,322.2953904045156,350.13199999999995,0.15,200.0,162.36599999999999
2020-06-01,Spain,247.294,31.73,297.8254018279231,345.634,42.33,263.8790455941413,346.692,67.17,247.5807652225696,158.94400000000002
2020-07-01,Ireland,311.50750000000005,39.51,318.6535054416603,374.5225,50.72,316.8375394321766,358.4075,0.11,181.8181818181818,162.905
2020-07-01,Spain,254.3825,37.06,294.3874797625472,345.8175,43.78,262.9054362722704,339.9525,69.49,248.237156425385,159.0525
2020-08-01,Ireland,314.804,26.94,319.5991091314031,371.592,46.46,321.35170038743,351.892,0.11,181.8181818181818,161.386
2020-08-01,Spain,246.73599999999996,29.59,294.3562014193985,346.95799999999997,39.6,269.4444444444445,337.746,68.1,250.0734214390603,158.922
2020-09-01,Ireland,314.485,30.51,315.3064568993772,364.98500000000007,48.04,319.9417152373023,346.68750000000006,0.09,222.2222222222222,159.24
2020-09-01,Spain,246.75500000000002,31.59,291.8645140867363,343.895,35.89,266.6480913903594,333.1425,69.46,252.2315001439678,157.93
2020-10-01,Ireland,311.755,34.29,314.0857392825897,364.9325,51.23,317.0017567831349,346.04,0.18,166.6666666666667,159.26
2020-10-01,Spain,249.86,31.87,290.241606526514,358.645,35.69,262.8187167273746,336.61,69.47,251.6194040593062,156.915
2020-11-01,Ireland,298.404,35.84,309.9888392857143,369.554,56.32,309.3039772727273,348.20000000000005,0.17,176.4705882352941,157.426
2020-11-01,Spain,242.03000000000003,25.12,292.5955414012739,359.54800000000006,33.17,262.5866747060597,337.616,69.51,250.7552870090634,147.95
2020-12-01,Ireland,316.84749999999997,31.72,308.6380832282472,380.5,51.19,310.4121898808361,356.4025,0.23,217.3913043478261,156.045
2020-12-01,Spain,248.5125,26.15,299.8087954110899,362.735,35.11,259.4702363998861,345.6925,79.94,244.5584188141106,135.79500000000002
2021-01-01,Ireland,321.9625,25.82,312.5484120836561,385.15000000000003,49.24,312.9569455727051,360.6225,0.2,150.0,153.88250000000002
2021-01-01,Spain,249.96500000000003,23.54,298.6406117247239,370.71250000000003,32.37,267.5316651220266,353.345,65.61,245.237006553879,135.1775
2021-02-01,Ireland,318.7325,25.36,309.9369085173502,381.8,43.79,314.455355103905,357.58500000000004,1.27,110.2362204724409,151.5475
2021-02-01,Spain,249.94250000000002,22.92,297.1204188481675,370.41,32.62,264.8681790312692,357.46500000000003,67.69,245.8265622691683,139.105
2021-03-01,Ireland,327.608,28.02,309.4218415417559,385.962,51.03,315.108759553204,363.974,3.68,100.5434782608696,155.27
2021-03-01,Spain,254.15,26.53,300.0376931775348,363.79200000000003,38.5,263.3766233766234,363.634,74.85,245.9585838343353,164.638
2021-04-01,Ireland,347.3325,27.51,309.3420574336604,403.7375,45.44,318.6619718309859,383.585,0.74,121.6216216216216,162.605
2021-04-01,Spain,270.33,21.58,301.2048192771085,378.59749999999997,37.77,261.8480275350807,367.41499999999996,69.42,249.063670411985,178.335
2021-05-01,Ireland,353.796,32.27,312.9841958475364,416.34399999999994,42.6,321.3615023474179,397.10999999999996,0.41,121.9512195121951,165.772
2021-05-01,Spain,269.11,33.59,301.8755582018458,359.66999999999996,41.68,262.236084452975,375.148,67.31,248.5514782350319,182.30999999999997
2021-06-01,Ireland,360.4525,32.65,314.854517611026,422.1825,42.83,315.9000700443614,407.1125,0.13,230.7692307692308,167.23
2021-06-01,Spain,263.66999999999996,37.96,298.2086406743941,372.2975,41.89,262.3537837192648,373.55,67.31,247.8086465606893,188.52
2021-07-01,Ireland,370.95750000000004,34.23,316.0969909436167,430.57500000000005,45.37,315.847476305929,413.59000000000003,0.1,200.0,160.77749999999997
2021-07-01,Spain,270.8,34.38,297.5567190226876,368.8725,40.11,262.0294190974819,370.715,71.09,247.0108313405542,172.315
2021-08-01,Ireland,369.558,28.46,314.1250878425861,422.596,44.45,317.660292463442,402.58000000000004,0.07,142.8571428571428,155.754
2021-08-01,Spain,283.168,30.62,296.8647942521228,371.45799999999997,37.62,265.2844231791601,369.40000000000003,75.24,248.9367357788411,155.622
2021-09-01,Ireland,373.355,27.3,309.1575091575091,421.41499999999996,49.32,315.0851581508516,401.0025,0.06,166.6666666666667,151.5025
2021-09-01,Spain,285.5425,35.68,295.4035874439462,390.4575,36.35,263.5488308115543,381.435,76.4,246.5968586387435,146.13
2021-10-01,Ireland,373.32,30.23,308.6338074760171,421.06250000000006,49.37,310.9175612720276,400.155,0.16,187.5,147.77
2021-10-01,Spain,291.78749999999997,33.24,295.1263537906137,402.1075,35.51,261.6164460715291,394.77,75.24,246.6772993088783,133.1775
2021-11-01,Ireland,366.93,39.37,304.0386080772162,422.934,55.18,304.4581370061617,401.71000000000004,0.17,235.2941176470588,143.442
2021-11-01,Spain,294.892,35.82,298.7158012283641,420.58600000000007,37.11,261.1156022635408,416.60599999999994,80.01,246.0942382202225,126.17
2021-12-01,Ireland,378.21250000000003,33.75,297.7777777777778,431.585,45.77,305.0032772558444,407.875,0.19,210.5263157894737,143.55
2021-12-01,Spain,304.84,32.68,301.1015911872705,426.5175,36.78,263.1865144100054,436.4375,83.53,245.1813719621693,125.88
